hex_id,lcz,svf,plan_area,wall_area_m2,height
23218,8,0.903876549175,11173.376428127951,8013.765754964333,6.859411764705882
23219,6,0.882796845949,16692.170156839176,12550.041636028016,4.572954545454546
23220,8,0.933628022163,27942.88824449703,9089.403543583252,4.382941176470588
23221,6,0.881015844914,7113.16000042922,10595.719898930654,4.287166666666667
23222,6,0.870451536237,12720.02391255317,17985.70083596426,4.063398058252427
23223,6,0.882594197389,12163.742418894482,18105.522820041602,4.309659090909091
23224,6,0.890025278099,10730.973874445755,16117.089791273867,3.6901923076923078
23225,6,0.889459789915,11724.425981861219,18765.735263063354,4.208105263157894
23226,12,0.939068689119,19.2066510738,32.301375331609,2.57
23227,12,0.945437872111,0.0,0.0,0.0
23228,17,0.998761387994,0.0,0.0,0.0
23229,17,0.995747905043,0.0,0.0,0.0
23230,17,1.0,0.0,0.0,0.0
23231,17,1.0,0.0,0.0,0.0
23232,17,1.0,0.0,0.0,0.0
23233,12,0.927665705245,0.0,0.0,0.0
23234,6,0.884695772272,10076.13411901724,15790.129281401118,4.731129032258064
23235,6,0.86939980667,11547.015644282204,18668.276920230404,4.42390243902439
23236,6,0.895904298113,9277.49972737988,14451.072435632848,4.336060606060606
23237,6,0.904383439155,4940.285807961,9532.943686100716,5.0925714285714285
23238,12,0.9861564328,0.0,0.0,0.0
23239,12,0.987995618804,0.0,0.0,0.0
23240,12,1.0,0.0,0.0,0.0
23241,12,1.0,0.0,0.0,0.0
23242,12,1.0,0.0,0.0,0.0
23243,17,1.0,0.0,0.0,0.0
23244,12,0.999998501511,0.0,0.0,0.0
23245,17,1.0,0.0,0.0,0.0
23246,17,0.998711981106,0.0,0.0,0.0
23247,17,0.999975630928,0.0,0.0,0.0
23248,12,0.995872060232,0.0,0.0,0.0
23249,12,0.976127871019,0.0819890692326,5.06903727656445,7.35
23250,6,0.917606897046,10484.87996643004,17252.36286001891,7.497741935483871
23251,6,0.856871376466,11775.42777028246,24965.249329855036,6.708823529411764
23252,6,0.855758165253,9584.669111438247,20709.06049899548,7.057205882352941
23253,3,0.848815095568,12831.734292867231,28005.919786266702,6.487441860465116
23254,6,0.920848893989,6007.87270102459,12433.235976601876,5.808448275862069
23255,3,0.858737569652,15243.112366430478,28815.893503321673,6.1788
23256,3,0.859852609541,9548.63980649003,16470.601779945773,6.277333333333334
23257,3,0.861823215311,13014.119415893894,20633.776780209122,5.549390243902439
23258,3,0.865146433301,10689.87229047001,17290.92015716434,5.717868852459016
23259,3,0.870506838038,11764.86395350417,20190.16267480821,6.193148148148148
23260,3,0.857727967813,14904.35028841976,25340.73893863431,6.258705882352941
23261,6,0.815884241082,11895.369346388321,31889.335656801304,6.152244897959183
23262,8,0.938774076619,4051.2597949045,6069.322926334422,7.1375
23263,17,0.995369324568,20.0686575025,54.28580758889,2.95
23264,17,1.0,0.0,0.0,0.0
23265,17,0.982857400483,389.8103723013,805.619732538455,6.226666666666667
23266,17,0.999871599603,0.0,0.0,0.0
23267,17,0.999999784308,0.0,0.0,0.0
23268,17,1.0,0.0,0.0,0.0
23269,17,1.0,0.0,0.0,0.0
23270,17,1.0,0.0,0.0,0.0
23271,17,1.0,0.0,0.0,0.0
23272,17,1.0,0.0,0.0,0.0
23273,17,1.0,0.0,0.0,0.0
23274,17,1.0,0.0,0.0,0.0
23275,17,1.0,0.0,0.0,0.0
23276,17,1.0,0.0,0.0,0.0
23557,12,0.939672280833,0.0,0.0,0.0
23559,14,0.998376009322,0.0,0.0,0.0
23561,6,0.901835756146,7603.53419682359,13060.769735496368,4.335625
23563,8,0.888661222016,12264.753682265977,19551.032313805383,4.122571428571429
23564,8,0.898197867503,6023.0239916592,10138.214628665197,4.180862068965517
23565,14,0.941632547282,0.0,0.0,0.0
23566,14,1.0,0.0,0.0,0.0
23567,14,0.999881710447,0.0,0.0,0.0
23568,8,0.983457158979,8417.53008341,2736.56068138696,13.06
23569,8,0.962395318589,10440.916361565,6436.57497150926,11.129999999999999
23570,8,0.960111012084,8156.1146599250005,4952.985941062916,5.754
23571,12,0.999801598726,0.0,0.0,0.0
23572,8,0.998468097338,0.0,0.0,0.0
23573,14,0.999340522158,0.0,0.0,0.0
23574,8,0.938309854027,10160.883627,6761.01348226767,12.07
23575,8,0.976192749059,0.0,0.0,0.0
23576,8,0.956337622208,7071.8452829320995,5568.9570869072595,9.835
23577,8,0.975925342415,3703.451213263,3183.960052702086,7.46
23578,8,0.951988781108,15194.989650376701,10077.982051849882,9.298333333333334
23579,8,0.927004810529,8312.1636018886,6496.48469265642,9.131428571428572
23580,8,0.918917992547,24585.9064834394,11818.597892131085,11.129999999999999
23581,8,0.947801861926,13348.301533935699,6965.234869248809,10.24
23582,12,0.942125503841,2432.2342793411904,3614.2757105424316,4.354285714285714
23583,6,0.89159536382,12958.357223150366,19090.046189320732,3.9701923076923076
23584,6,0.887917834545,10841.96415060728,15150.728026376848,4.076813186813187
23585,6,0.882010930333,13081.002259101942,18657.484708883825,3.902718446601942
23586,12,0.919547376574,5733.2183983236,8442.201653543612,4.011875
23587,12,0.963490259105,1242.73226178,1664.42468514304,17.2
23588,12,0.993848980397,0.0,0.0,0.0
23589,17,0.99953751076,0.0,0.0,0.0
23590,17,1.0,0.0,0.0,0.0
23591,17,0.994473502068,0.0,0.0,0.0
23592,17,1.0,0.0,0.0,0.0
23593,12,0.971492627792,0.0,0.0,0.0
23594,12,0.973749063324,0.0,0.0,0.0
23595,12,0.929968261639,1655.51650208,2639.2500177406414,4.146923076923077
23596,6,0.916499844879,7012.20205897422,10130.024555006228,3.9998275862068966
23597,12,0.999639527964,0.0,0.0,0.0
23598,12,0.997922006974,0.0,0.0,0.0
23599,12,0.996341648004,0.0,0.0,0.0
23600,12,0.998837150946,0.0,0.0,0.0
23601,12,0.994039494197,0.0,0.0,0.0
23602,12,0.994311298463,0.0,0.0,0.0
23603,8,0.983674067924,1570.3853762444,1346.632945606742,6.987500000000001
23604,12,0.996273666844,0.0,0.0,0.0
23605,12,0.979039088329,986.8062001048,1769.567601115448,4.378181818181818
23606,17,0.964881425771,1628.4013993316,3293.2110748306845,5.471428571428571
23607,12,0.982411844022,0.0,0.0,0.0
23608,12,0.990969011977,0.0,0.0,0.0
23609,3,0.900086015454,4176.442573332837,10939.634977736316,9.226
23610,6,0.905777993902,10475.3702907822,21332.1758996572,6.936909090909092
23611,6,0.841232750827,13220.460833748655,30707.999641329174,7.302608695652174
23612,3,0.853301946703,13772.526516809092,29621.72598385463,6.834705882352941
23613,6,0.863391343121,9496.450498361923,20321.77433117495,7.5715
23614,12,0.949511883854,3427.837731564116,7024.431833494722,7.0200000000000005
23615,8,0.903866102903,12331.04514273252,18984.03305688443,5.962285714285715
23616,6,0.882228290495,14176.94320534232,24516.083068001375,5.826
