Id,VALUE_1,VALUE_2,VALUE_3,VALUE_4,VALUE_5,VALUE_6,VALUE_7,VALUE_8
22141,15361.24000000000,12291.16000000000,5667.84000000000,3428.56000000000,2333.32000000000,0.00000000000,1498.88000000000,0.00000000000
22142,13791.52000000000,11408.68000000000,6722.20000000000,3693.60000000000,3177.00000000000,0.00000000000,1788.00000000000,0.00000000000
22143,14184.12000000000,10661.60000000000,6800.72000000000,3513.52000000000,4300.92000000000,0.00000000000,1120.12000000000,0.00000000000
22144,10918.56000000000,11518.44000000000,7562.48000000000,2930.32000000000,5180.64000000000,0.00000000000,2470.68000000000,0.00000000000
22145,13566.96000000000,11562.04000000000,6339.84000000000,1881.48000000000,5250.68000000000,0.00000000000,1980.00000000000,0.00000000000
22146,14791.28000000000,10252.44000000000,7977.48000000000,3760.56000000000,2435.84000000000,0.00000000000,1363.44000000000,0.00000000000
22147,15102.64000000000,9119.16000000000,6393.64000000000,3765.40000000000,4858.44000000000,0.00000000000,1341.72000000000,0.00000000000
22148,15863.12000000000,9750.20000000000,5718.08000000000,2682.84000000000,2426.08000000000,0.00000000000,1948.24000000000,0.00000000000
22149,16361.32000000000,8870.04000000000,7003.32000000000,2365.88000000000,3827.32000000000,0.00000000000,2153.12000000000,0.00000000000
22150,14915.24000000000,11098.64000000000,6624.00000000000,2631.56000000000,3248.44000000000,0.00000000000,2063.24000000000,0.00000000000
22151,13472.92000000000,10513.64000000000,6363.64000000000,3628.72000000000,5197.40000000000,0.00000000000,1404.68000000000,0.00000000000
22152,6282.12000000000,1900.88000000000,21819.48000000000,859.00000000000,1459.68000000000,0.00000000000,8259.92000000000,0.00000000000
22153,16096.88000000000,3370.52000000000,6826.80000000000,495.48000000000,588.52000000000,7934.60000000000,5268.16000000000,0.00000000000
22154,60.40000000000,0.00000000000,17.40000000000,18.76000000000,0.00000000000,40480.00000000000,4.52000000000,0.00000000000
22155,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,40580.96000000000,0.00000000000,0.00000000000
22156,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,40581.00000000000,0.00000000000,0.00000000000
22157,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,40581.00000000000,0.00000000000,0.00000000000
22158,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,40581.00000000000,0.00000000000,0.00000000000
