hex_id,per_low_infra,per_high_infra,per_grass,per_shrub,per_tree,per_water,per_dry_grass,per_bare,lcz
56796,0.0,0.8098371158916734,44.14302259678175,0.3073359453931643,4.009068283186713,0.0,50.73073605874671,0.0,14
56797,3.323621080189172,0.3092084382263244,35.3171826054729,0.4200976613709259,0.07363044416801541,0.0,60.55625977057266,0.0,14
56798,0.0,0.013700966065959802,13.503238454964727,0.1288285082604997,0.1462750621718298,0.0,86.207957008537,0.0,14
56799,0.0,0.08654296345580442,12.702594810379242,0.3033932135728543,0.2827924398117346,0.0,86.62467657278037,0.0,14
56800,0.0,0.14617663815417248,4.705744357463486,0.06397076072964122,0.5375909538050282,0.0,94.54651728984767,0.0,14
56801,16.5704310592948,0.14390985329080436,9.299237869187914,0.021389341208290787,0.0,0.0,73.96503187701819,0.0,14
56802,2.670212493322004,0.11798613342585601,27.74201942582053,0.000985681983507569,0.0,0.0,69.4687962654481,0.0,14
56803,46.509640491147074,4.150719106417498,20.47109824025675,0.002858486204847007,0.0,0.0,28.865683675973834,0.0,14
56804,57.07739377798106,0.1839282581225124,18.608000189250944,0.001084250181858326,0.0,0.0,24.129593524463647,0.0,8
56805,91.70616791109138,0.5753431408787363,5.892215568862275,0.002759912274216998,0.0,0.0,1.8235134668933735,0.0,15
56806,62.35282521376998,4.718957147433527,24.97582612552672,0.003449890342771247,0.0008871146595697492,0.0,7.948054508267415,0.0,8
56807,82.82191173209138,17.177398289840074,0.0004928414775387497,0.0,0.00019713659101549988,0.0,0.0,0.0,8
56808,56.64108819398241,38.53635938000543,1.4132722209901187,1.0265887977132158,1.6832507823858458,0.0,0.6994406249229935,0.0,8
56809,76.33042425723934,10.901839873990415,6.502544045199433,1.9128144571947885,2.222712872809568,0.0,2.1296644935664535,0.0,8
56810,50.30792705164775,45.23925458785679,2.7184123423155246,1.6012403822080454,0.13316563597187256,0.0,0.0,0.0,8
56811,85.078351860869,6.342567859276153,6.243013978941889,1.0219550805006474,0.17614137045280256,0.0,1.1379698499594881,0.0,15
56812,41.55171971935662,1.4653148366823519,24.068579809684522,0.3923999976343632,0.060520873787364725,0.0,32.46146476285477,0.0,15
56813,97.11175465192612,2.8801627558091165,0.0012813865785598398,0.006801205686202226,0.0,0.0,0.0,0.0,15
56814,98.91486270435651,1.063156587411264,0.008674001454866607,0.013306706777352182,0.0,0.0,0.0,0.0,15
56815,75.95493058813788,1.5350055789710246,7.919674645449492,0.30822336386325017,0.20669791941836763,0.0,14.07546790415998,0.0,8
56816,41.754137642467875,1.9781632228614914,30.32329351510606,0.3394685405119825,0.9376783466580979,0.0,24.667258732394508,0.0,14
56817,3.3743903544913674,0.08319172340920471,89.41474031171269,0.5039801916958101,0.04238440884592183,0.0,6.581313009845011,0.0,14
56818,31.26408910573914,11.807003277395824,43.981074887262515,5.115694536852222,2.590571942534684,0.0,5.241566250215618,0.0,6
56819,43.14249835390785,24.243487586296627,15.185446573959808,9.27656713887498,5.513521612105776,0.0,2.6384787348549663,0.0,6
56820,36.62176880806289,28.54143564722407,15.331904093048472,6.999630368891846,6.269042162588404,0.0,6.236218920184322,0.0,6
56821,39.72184027007713,30.804268007195486,13.10347206820926,8.812104186688352,5.8193735984820485,0.0,1.7389418693477243,0.0,6
56822,31.0660960213854,26.588725352973416,16.58255497159259,8.339181724631453,12.386104222275668,0.0,5.037337707141477,0.0,6
56823,39.09100317882753,24.89145166457209,12.813976984302998,9.799068529607451,10.813631995268722,0.0,2.590867647421207,0.0,6
56824,41.018309060890566,21.223331115546685,16.821468174761588,6.80407087060447,7.541460289297947,0.0,6.591360488898745,0.0,6
56825,29.09157397952143,21.096790218861262,18.4200669476523,8.779683871451045,12.110901269955171,0.0,10.500983712558796,0.0,6
56826,23.997488484781577,28.25779895458672,13.196691660251526,10.077109825564031,13.935755283003804,0.0,10.535155791812342,0.0,6
56827,12.523508561650587,13.116101738352173,30.659797106820537,11.027240360996881,24.71425022966436,0.0,7.959102002515466,0.0,9
56828,23.35637853267727,22.623328286651525,20.70963048826647,10.629179283371183,16.430202024981078,0.0,6.251281384052486,0.0,6
56829,14.178964716458163,14.75578695033336,27.6650922008745,11.471685243523071,23.91584624907839,0.0,8.012624639732525,0.0,9
56830,28.815891543546893,28.51555453920891,15.789525562158522,11.61142088874914,9.31626265244789,0.0,5.95134481388864,0.0,6
56831,23.83164535127277,24.041990093886305,19.57871910499988,9.599172026317737,15.784234001133537,0.0,7.164239422389789,0.0,6
56832,18.531825238412065,26.113107119095144,16.944284270964243,15.805623321258716,13.896256868978092,0.0,8.708903181291738,0.0,6
56833,1.9642670567338836,3.534162751866389,56.136856029318125,15.045844069052936,15.306261249095636,0.0,8.012608843933029,0.0,9
56834,28.92213491253041,17.866309717660698,24.735048160516655,10.784959251826473,11.00003548462136,0.0,6.6915124728444075,0.0,9
56835,31.313410091599334,18.64060788919368,25.350532809871,10.943622003160092,7.004446407044859,0.0,6.747380799131023,0.0,6
56836,30.867541561444696,18.31286063781761,23.221970543763465,13.043088272112383,10.080510821845163,0.0,4.474028163016671,0.0,9
56837,34.21890201049356,19.07509607925664,18.555937890268076,7.522717483122676,13.77893343400422,0.0,6.848413102854828,0.0,9
56838,46.24474137625133,34.55147438601748,6.351352949757719,4.169147304548734,7.794098513194365,0.0,0.8891854702303741,0.0,8
56839,13.393630726437049,10.507261019174452,51.238064635046676,6.307569931603593,8.71795427820058,0.0,9.835519409537646,0.0,9
56840,13.401233679570558,84.00780265858144,0.5293112251435645,0.3302034644750356,1.7314489722293958,0.0,0.0,0.0,8
56841,26.489020488385705,68.81558481497763,2.5727285451531055,0.4947137875224488,1.6279523639611007,0.0,0.0,0.0,8
56842,43.82357492703497,14.89009163876368,20.013070130218317,6.309935566032249,7.7125596460222345,0.0,7.2507680919285535,0.0,8
56843,58.49993001657916,27.992284081433098,6.587115559384381,2.142379791153701,4.719051064240837,0.0,0.05923948720880489,0.0,8
56844,58.7861141201762,6.221027138755302,20.660859691264992,4.086732043602585,3.299665755568851,0.0,6.945601250632068,0.0,6
56845,38.33171681806712,26.65495678778703,12.68856059172344,3.9758390108503656,9.27623485995458,0.0,9.072691931617461,0.0,8
56846,45.78225847786745,11.270802859271935,21.405604993080498,2.2561319397076858,6.838675083093155,0.0,12.446526646979274,0.0,8
56847,31.48754888973,35.97840572167549,24.61164206409286,2.7126900391117834,3.417056995962654,0.0,1.7926562894272016,0.0,8
56848,20.565428285016704,15.027357684350182,45.1370742703714,4.682594677498686,6.110359252574856,0.0,8.477185830188178,0.0,6
56849,9.32326098763266,4.214476302749952,78.15602739010396,2.8335372050226364,0.9406353896939165,0.0,4.532062724796876,0.0,14
56850,19.268346534926724,7.263406287086358,65.43847163793069,2.1312457862012137,4.165204568842137,0.0,1.733325185012873,0.0,14
56851,24.374980286399197,47.25714815165279,13.351036146858442,3.248505709058794,9.820133106232653,0.0,1.948196599798133,0.0,8
56852,37.16836664287883,14.41641597438799,24.307458473136172,2.203102144453951,11.590952998647643,0.0,10.313703766495419,0.0,8
56853,40.43687353811185,7.247416776487959,26.171999365221428,2.904111965477508,15.03587386042954,0.0,8.203724494271714,0.0,8
56854,34.04956201264235,34.87723835836799,15.04829344117998,3.21962845739936,10.130040895905188,0.0,2.6752368345051445,0.0,8
56855,24.042459237121573,11.102229021237502,51.782507298975084,4.700224538355843,8.365482994028739,0.0,0.007096910281254497,0.0,6
56856,38.27192376348782,17.092595859942616,34.192584327474776,3.858349753136191,3.4026694213165354,0.0,3.181876874642075,0.0,8
56857,38.39493675377788,21.52687902835509,31.273588578716982,3.656679418093358,1.5028678389042383,0.0,3.6450483821524715,0.0,8
56858,51.69907099381484,31.43924496685641,9.861955102141396,1.998077918237599,4.472339272073138,0.0,0.5293117468766171,0.0,8
56859,47.70799368374985,43.24886695855995,5.4166182039691435,1.4671876324510162,2.1593335212700313,0.0,0.0,0.0,8
56860,58.11129160079012,29.994263319546896,6.8452791654017044,2.4555357980688477,2.5532170751997976,0.0,0.04041304099262313,0.0,8
56861,53.264033386987236,35.0743745607559,5.22992488125008,3.4756098162000617,2.902042035352435,0.0,0.054015319454287565,0.0,8
56862,33.45053138325241,27.880124827258552,18.043965532536507,7.356666489243211,8.873341337102596,0.0,4.39537043060673,0.0,6
56863,43.33832416485712,23.95697699519086,16.046295465768775,10.071491443795976,5.821432056515007,0.0,0.7654798738722577,0.0,6
56864,37.24820704093743,23.530049560187834,17.816039837401583,10.492999672752939,7.6518643225788665,0.0,3.2608395661413634,0.0,6
56865,0.2515462901357779,0.06199945787437472,89.97038022719993,6.4190631083512,1.8306103841699322,0.010842512505852496,1.4555580197629434,0.0,14
56866,2.4669697316179806,0.14834543096072642,70.56797079221388,7.13260603001999,2.073189002921567,12.768549585815617,4.842369426450237,0.0,14
56867,1.4594021832877457,0.04100441093122398,91.7821640669279,1.6704369039698383,1.5398339124220697,0.0,3.507158522461251,0.0,14
56868,0.0,0.0,98.9726246812554,0.17929537607180487,0.0,0.0,0.8480799426727922,0.0,14
56869,0.0,0.0,94.69021925553264,0.206106509062378,0.0,0.0,5.103674235404978,0.0,14
56870,0.0,0.0,74.44447072924551,0.15238613424173605,0.0,0.0,25.40314313651274,0.0,14
56871,14.890332806320995,7.0928829677760215,36.80376215841124,7.062228197657227,6.113310281471902,12.956815215805639,15.080668372556982,0.0,12
56872,30.070830967701234,27.421914427201614,21.57978882790815,10.881217669694674,7.667999306081251,0.0,2.3782488014130707,0.0,6
56873,39.86036801495086,31.52453761567001,13.10683630944167,9.699524111800214,5.709278439938336,0.0,0.09945550819891891,0.0,6
56874,39.242108375840914,30.202114289938642,14.314679283408491,8.96813779847712,5.399866932801065,0.0,1.873093319533772,0.0,6
56875,38.86853453586653,28.756905941204007,14.180330696631426,10.639658953697541,6.944826396589535,0.0,0.6097434760109409,0.0,6
56876,43.00858630114841,25.953181938704194,14.93647753673401,10.488870138971711,5.137882531987938,0.0,0.4750015524537146,0.0,6
56877,40.625258742030745,27.102759520721047,14.472304253029007,11.652361107277898,6.035441251266604,0.0,0.11187512567470065,0.0,6
56878,44.72087402565143,21.66523413935993,14.725132180214562,8.380974723121383,7.7172151669157145,0.0,2.79056976473696,0.0,6
56879,44.037455952292945,22.99726472979966,14.719992114536359,11.161183805229047,6.552228875582169,0.0,0.5318745225598186,0.0,6
56880,41.19070500973362,24.020797910352137,17.377590498016318,9.701190212168258,5.182425272910969,0.0,2.5272910968187086,0.0,6
56881,30.101505730766352,24.823168303559108,22.328599421994944,11.225264261860735,8.995055809423928,0.0,2.526406472394936,0.0,6
56882,39.508756297269564,21.888919664040483,16.66688023088592,9.891210386712231,9.502654931805658,0.0,2.5415784892861404,0.0,6
56883,33.380481881158055,20.21371598897611,14.939715571046124,7.999810748686082,5.64087197542887,0.0,17.825403834704744,0.0,6
56884,31.576685489888394,21.23758165135083,13.154997353446484,3.87402208122603,19.503867319450347,0.0,10.652846104637927,0.0,6
56885,59.92144106848032,22.44794361893497,7.989256055789656,4.411226928858333,3.6376629457135112,0.0,1.5924693822232079,0.0,6
56886,41.156756948565146,24.670141524219197,14.783455525043225,9.661063393151089,4.902387913173246,0.0,4.826194695848111,0.0,6
56887,41.89296282204693,23.815850949113173,17.059198088565495,10.063123074223823,4.426007810544037,0.0,2.742857255506512,0.0,6
56888,45.90443803750524,27.462999926073778,12.336906434045488,8.874103644562727,4.648382247849979,0.0,0.7731697099627904,0.0,6
56889,43.84786589993751,21.39570597500705,17.544055056252873,10.071994212075394,6.178648945418847,0.0,0.9617299113083353,0.0,6
56890,34.728863261132055,16.50989379266159,26.872575835982357,8.132377220866909,4.325669648357605,0.0,9.430620240999483,0.0,6
56891,16.270865676055298,4.465833764569626,50.872674404277866,4.454399842290727,14.932209654764545,0.0,9.004016658041941,0.0,9
56892,42.64626302949656,23.599319878760998,13.493506813533427,7.584928907616865,11.015007022991055,0.0,1.660974347601094,0.0,6
56893,44.08061719645587,21.244663748382244,16.201505535113544,9.871929961173871,6.343966573453731,0.0,2.2573169854207342,0.0,6
56894,44.09142791806222,22.427912148136173,16.941409091536343,8.285445616967923,5.772350831817025,0.0,2.481454393480305,0.0,6
56895,46.20284980936873,21.034987836660346,16.489900682487548,9.315008812014304,4.198717822348214,0.0,2.7585350371208563,0.0,6
56896,31.923282399859637,18.06104525660259,25.044010700563614,8.897652696924474,7.665254512944961,0.0,8.40875443310472,0.0,6
56897,24.824030950444786,10.084325176806878,46.90392055395382,6.267563638155786,3.5552598506690316,0.0,8.364899829969689,0.0,12
56898,0.7863763113253762,0.7261512014958694,50.724721964028554,9.870116813056725,5.675846971051535,2.303536524902738,29.9132502141392,0.0,9
56899,2.8839140325906536,0.0,31.379247804881896,0.11355078835000454,0.0,0.0,63.48533893727502,2.137948436902429,8
56900,0.0,0.0,50.95729434238255,0.12054890658297569,0.0,0.0,48.816787346997515,0.10536940403695913,14
56901,23.943003924985653,22.424560829392245,19.757896791210868,8.518855110662514,6.859656627824224,0.0,6.639652409105334,11.856374306819141,6
56902,35.734618925488356,36.80398530939572,9.320017426857468,7.979785633882226,8.284164230389363,0.0,1.8774284739868667,0.0,6
56903,36.112332261568454,31.17771254753451,9.537163167824186,7.4298736552833535,10.127882380540273,2.9864192736312325,2.628616713617985,0.0,6
